,Time,Flux
0,1928.103997459462,''
1,1928.1053863656775,''
2,1928.1067752717763,''
3,1928.1081641779915,''
4,1928.1095530842076,''
5,1928.1109419903078,''
6,1928.1123308965239,''
7,1928.113719802739,''
8,1928.1151087088379,''
9,1928.116497615053,''
10,1928.117886521152,''
11,1928.1192754273675,''
12,1928.120664333467,''
13,1928.1220532396828,''
14,1928.1234421457816,''
15,1928.124831051997,''
16,1928.1262199580965,''
17,1928.1276088643126,''
18,1928.1289977704114,''
19,1928.1303866765102,''
20,1928.1317755827263,''
21,1928.133164488826,''
22,1928.1345533949248,''
23,1928.13594230114,''
24,1928.1373312072387,''
25,1928.1387201133377,''
26,1928.1401090194365,''
27,1928.141497925652,''
28,1928.142886831752,''
29,1928.1442757378522,''
30,1928.1456646439512,''
31,1928.14705355005,''
32,1928.1484424562655,''
33,1928.1498313623642,''
34,1928.151220268463,''
35,1928.1526091745627,''
36,1928.1539980806622,''
37,1928.1553869867612,''
38,1928.15677589286,''
39,1928.1581647989588,''
40,1928.1595537050584,''
41,1928.160942611158,''
42,1928.162331517257,''
43,1928.1637204233564,''
44,1928.1651093294558,''
45,1928.1664982355549,''
46,1928.1678871416536,''
47,1928.1692760476362,''
48,1928.170664953735,''
49,1928.1720538598338,''
50,1928.1734427659326,''
51,1928.1748316720323,''
52,1928.1762205781324,''
53,1928.1776094841157,''
54,1928.1789983902145,''
55,1928.1873318265762,''
56,1928.1887207326752,''
57,1928.190109638774,''
58,1928.1914985447565,''
59,1928.192887450856,''
60,1928.1942763569555,''
61,1928.195665262938,''
62,1928.1970541690375,''
63,1928.1984430750208,''
64,1928.1998319811196,''
65,1928.2012208872184,''
66,1928.202609793201,''
67,1928.2039986992997,''
68,1928.2053876052823,''
69,1928.2067765113818,''
70,1928.2081654173649,''
71,1928.2095543234645,''
72,1928.2109432294476,''
73,1928.2123321354302,''
74,1928.213721041529,''
75,1928.2151099475113,''
76,1928.2164988536103,''
77,1928.2192766655767,''
78,1928.2206655716755,''
79,1928.2220544776578,''
80,1928.2234433836402,''
81,1928.2248322897399,''
82,1928.2262211957232,''
83,1928.2276101017055,''
84,1928.228999007805,''
85,1928.230387913788,''
86,1928.2317768197706,''
87,1928.2331657257532,''
88,1928.234554631852,''
89,1928.2373324438167,''
90,1928.2387213497993,''
91,1928.2401102558988,''
92,1928.2414991618828,''
93,1928.2428880678658,''
94,1928.2442769738482,''
95,1928.2456658798308,''
96,1928.2470547858134,''
97,1928.2484436919121,''
98,1928.2498325978945,''
99,1928.2512215038778,''
100,1928.2526104098608,''
101,1928.2539993158432,''
102,1928.2553882218258,''
103,1928.2567771278082,''
104,1928.2581660337914,''
105,1928.2595549397745,''
106,1928.2609438457569,''
107,1928.26233275174,''
108,1928.2637216577232,''
109,1928.2651105637055,''
110,1928.2664994696881,''
111,1928.2678883756705,''
112,1928.269277281653,''
113,1928.2706661876355,''
114,1928.2720550936187,''
115,1928.2734439996018,''
116,1928.2748329055848,''
117,1928.2762218115681,''
118,1928.2776107175505,''
119,1928.2789996235329,''
120,1928.2803885295154,''
121,1928.2831663414809,''
122,1928.2845552474641,''
123,1928.28594415333,''
124,1928.2873330593125,''
125,1928.288721965295,''
126,1928.2901108712776,''
127,1928.2914997772607,''
